site,survey,species,count
R Beach,3,western_sandpiper,0
R Beach,3,least_sandpiper,0
R Beach,3,dunlin,0
Rincon,1,black_bellied_plover,0
Rincon,1,snowy_plover,0
Rincon,1,semipalmated_plover,0
Rincon,1,killdeer,0
Rincon,1,greater_yellowlegs,0
Rincon,1,willet,19
Rincon,1,spotted_sandpiper,0
Rincon,1,whimbrel,0
Rincon,1,long_billed_curlew,0
Rincon,1,marbled_godwit,10
Rincon,1,black_turnstone,0
Rincon,1,sanderling,0
Rincon,1,western_sandpiper,0
Rincon,1,least_sandpiper,0
Rincon,1,dunlin,0
Rincon,2,black_bellied_plover,1
Rincon,2,snowy_plover,0
Rincon,2,semipalmated_plover,0
Rincon,2,killdeer,0
Rincon,2,greater_yellowlegs,0
Rincon,2,willet,32
Rincon,2,spotted_sandpiper,0
Rincon,2,whimbrel,1
Rincon,2,long_billed_curlew,0
Rincon,2,marbled_godwit,7
Rincon,2,black_turnstone,0
Rincon,2,sanderling,8
Rincon,2,western_sandpiper,0
Rincon,2,least_sandpiper,0
Rincon,2,dunlin,0
Rincon,3,black_bellied_plover,0
Rincon,3,snowy_plover,0
Rincon,3,semipalmated_plover,0
Rincon,3,killdeer,0
Rincon,3,greater_yellowlegs,0
Rincon,3,willet,4
Rincon,3,spotted_sandpiper,0
Rincon,3,whimbrel,3
Rincon,3,long_billed_curlew,0
Rincon,3,marbled_godwit,6
Rincon,3,black_turnstone,0
Rincon,3,sanderling,0
Rincon,3,western_sandpiper,0
Rincon,3,least_sandpiper,0
Rincon,3,dunlin,0
San Onofre,1,black_bellied_plover,0
San Onofre,1,snowy_plover,0
